UserId,AverageRuntime,MyAverageRuntime,AverageWatchLaterMoviesRuntime,MyAverageWatchLaterMoviesRuntime,AverageMovieClicks,MyMovieClicks,FuturePredictedRuntime
d32a4b9b-ce56-4739-a066-fd1870f0db5e,98,90,602,288,2,78,108
2f2edd26-2309-446f-a501-efd4ff95698c,104,102,441,924,4,7,102
968630e1-f235-4d48-a6a2-e14828e24ec5,118,112,192,536,78,60,120
050e64c1-8cdd-4102-b703-125ff56652e1,100,112,71,91,54,92,55
d32a4b9b-ce56-4739-a066-fd1870f0db5e,105,130,542,856,57,63,83
051d7ffb-14a6-4837-9c14-90c478d77c78,103,92,574,474,84,9,71
d32a4b9b-ce56-4739-a066-fd1870f0db5e,80,110,495,383,83,23,164
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,112,94,482,618,95,98,82
051d7ffb-14a6-4837-9c14-90c478d77c78,113,88,636,694,95,52,104
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,52,90,653,565,4,92,117
cb9a5e24-f2d6-4aef-b519-34286e9753fb,58,88,48,997,55,75,131
d32a4b9b-ce56-4739-a066-fd1870f0db5e,94,50,346,65,3,86,80
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,75,79,356,541,31,89,85
3c176379-742c-4534-91e4-addf71b44cee,71,55,523,632,34,18,94
816925f2-1a84-4f5e-8f68-9bb61e47a831,92,88,472,620,37,17,58
4a8b4a64-5dc3-4e33-a858-09a96518a389,98,91,2,733,70,59,106
4a8b4a64-5dc3-4e33-a858-09a96518a389,82,90,784,180,92,12,85
051d7ffb-14a6-4837-9c14-90c478d77c78,120,86,758,169,94,99,80
2f2edd26-2309-446f-a501-efd4ff95698c,96,98,939,224,50,71,69
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,87,54,51,621,19,63,88
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,105,97,133,410,4,82,100
395e3f78-f527-434b-a285-8cb7d6c9859a,86,109,640,891,91,78,69
bda79ecd-904e-4928-8ce4-e5c53cc98110,85,95,32,824,57,52,75
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,59,87,128,692,99,4,86
a3cf3f05-d647-4112-8f5f-6ad667453e96,83,60,954,426,9,51,101
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,112,90,646,505,56,68,94
7865dc03-d371-4a17-88cc-7ba0103a1941,68,121,806,73,27,68,90
968630e1-f235-4d48-a6a2-e14828e24ec5,96,106,759,836,7,0,73
2f2edd26-2309-446f-a501-efd4ff95698c,85,180,77,396,10,91,68
d32a4b9b-ce56-4739-a066-fd1870f0db5e,158,85,299,937,25,65,67
050e64c1-8cdd-4102-b703-125ff56652e1,98,105,916,203,69,82,85
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,91,57,747,318,64,97,145
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,71,77,564,708,62,36,57
4a8b4a64-5dc3-4e33-a858-09a96518a389,99,89,904,79,31,21,54
d32a4b9b-ce56-4739-a066-fd1870f0db5e,101,104,621,572,34,28,92
bda79ecd-904e-4928-8ce4-e5c53cc98110,66,129,237,122,61,62,64
cb9a5e24-f2d6-4aef-b519-34286e9753fb,105,105,426,776,51,23,114
4a8b4a64-5dc3-4e33-a858-09a96518a389,76,75,44,462,64,81,94
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,92,69,151,606,46,31,102
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,90,77,808,37,96,33,78
bda79ecd-904e-4928-8ce4-e5c53cc98110,124,82,857,508,17,71,76
395e3f78-f527-434b-a285-8cb7d6c9859a,70,90,285,315,66,46,98
bda79ecd-904e-4928-8ce4-e5c53cc98110,124,56,755,823,37,2,98
4a8b4a64-5dc3-4e33-a858-09a96518a389,80,69,520,811,60,46,93
968630e1-f235-4d48-a6a2-e14828e24ec5,107,74,740,993,68,20,66
2f2edd26-2309-446f-a501-efd4ff95698c,81,65,402,502,8,59,106
8f27e002-d3e5-439f-a601-ea2a39f34ad8,89,83,392,508,70,67,93
968630e1-f235-4d48-a6a2-e14828e24ec5,91,77,416,116,19,69,95
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,81,92,139,270,22,88,92
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,111,77,282,836,35,53,77
051d7ffb-14a6-4837-9c14-90c478d77c78,94,102,738,219,24,58,67
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,134,92,589,397,75,71,97
d84e31f9-caaf-45ea-a800-9322f715d648,110,73,418,82,20,26,128
cb9a5e24-f2d6-4aef-b519-34286e9753fb,146,87,737,979,67,93,104
4a8b4a64-5dc3-4e33-a858-09a96518a389,96,84,117,823,56,39,93
7865dc03-d371-4a17-88cc-7ba0103a1941,90,89,371,727,53,75,102
2f2edd26-2309-446f-a501-efd4ff95698c,127,85,49,185,10,12,93
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,88,87,109,401,0,29,82
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,76,115,498,656,94,97,97
8f27e002-d3e5-439f-a601-ea2a39f34ad8,93,103,57,210,50,93,62
8f27e002-d3e5-439f-a601-ea2a39f34ad8,80,100,516,389,6,72,96
a3cf3f05-d647-4112-8f5f-6ad667453e96,161,58,991,407,70,80,102
3c176379-742c-4534-91e4-addf71b44cee,107,100,55,153,17,32,104
d32a4b9b-ce56-4739-a066-fd1870f0db5e,98,146,920,584,89,67,164
4a8b4a64-5dc3-4e33-a858-09a96518a389,83,70,421,276,30,56,80
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,108,140,650,794,19,41,87
7865dc03-d371-4a17-88cc-7ba0103a1941,102,109,632,843,10,92,102
051d7ffb-14a6-4837-9c14-90c478d77c78,74,65,47,522,51,2,128
051d7ffb-14a6-4837-9c14-90c478d77c78,89,100,966,34,96,19,82
051d7ffb-14a6-4837-9c14-90c478d77c78,125,60,355,930,94,67,71
050e64c1-8cdd-4102-b703-125ff56652e1,78,82,747,305,12,37,80
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,92,79,43,205,73,37,90
2f2edd26-2309-446f-a501-efd4ff95698c,66,95,355,346,21,31,85
051d7ffb-14a6-4837-9c14-90c478d77c78,119,63,230,729,41,27,164
d32a4b9b-ce56-4739-a066-fd1870f0db5e,98,76,852,88,58,12,89
051d7ffb-14a6-4837-9c14-90c478d77c78,90,99,115,263,66,70,80
bda79ecd-904e-4928-8ce4-e5c53cc98110,76,86,598,153,55,74,96
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,76,87,420,145,71,22,102
2f2edd26-2309-446f-a501-efd4ff95698c,57,60,806,492,8,36,71
bda79ecd-904e-4928-8ce4-e5c53cc98110,103,105,962,452,23,15,105
8f27e002-d3e5-439f-a601-ea2a39f34ad8,89,93,90,324,88,58,152
7865dc03-d371-4a17-88cc-7ba0103a1941,65,78,441,753,55,72,89
968630e1-f235-4d48-a6a2-e14828e24ec5,100,90,677,637,43,88,122
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,82,78,197,382,33,69,100
3c176379-742c-4534-91e4-addf71b44cee,97,71,415,439,75,54,94
2f2edd26-2309-446f-a501-efd4ff95698c,104,130,708,523,66,56,91
968630e1-f235-4d48-a6a2-e14828e24ec5,112,58,605,473,64,78,93
a3cf3f05-d647-4112-8f5f-6ad667453e96,76,50,686,103,21,14,79
4a8b4a64-5dc3-4e33-a858-09a96518a389,55,65,109,137,67,88,108
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,100,68,390,910,41,86,76
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,106,83,863,243,24,76,95
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,85,65,3,127,13,29,80
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,101,73,962,366,55,69,104
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,77,91,598,316,3,11,46
cb9a5e24-f2d6-4aef-b519-34286e9753fb,71,100,693,181,0,90,94
cb9a5e24-f2d6-4aef-b519-34286e9753fb,133,78,971,176,35,94,88
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,139,82,645,779,96,76,108
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,111,106,87,766,8,34,84
050e64c1-8cdd-4102-b703-125ff56652e1,88,85,832,110,57,87,66
4a8b4a64-5dc3-4e33-a858-09a96518a389,91,78,6,140,71,42,86
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,88,110,345,392,72,98,75
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,75,86,229,134,12,84,96
051d7ffb-14a6-4837-9c14-90c478d77c78,100,64,495,439,89,33,132
4a8b4a64-5dc3-4e33-a858-09a96518a389,90,94,45,441,96,81,65
816925f2-1a84-4f5e-8f68-9bb61e47a831,73,58,535,199,44,95,98
cb9a5e24-f2d6-4aef-b519-34286e9753fb,80,90,317,379,4,86,85
a3cf3f05-d647-4112-8f5f-6ad667453e96,92,86,696,885,5,45,90
050e64c1-8cdd-4102-b703-125ff56652e1,98,81,75,94,57,28,93
cb9a5e24-f2d6-4aef-b519-34286e9753fb,80,85,984,81,47,1,84
051d7ffb-14a6-4837-9c14-90c478d77c78,95,87,20,86,2,93,112
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,93,85,431,293,83,63,90
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,101,90,496,697,78,15,48
a3cf3f05-d647-4112-8f5f-6ad667453e96,122,98,668,869,97,13,170
968630e1-f235-4d48-a6a2-e14828e24ec5,68,79,569,249,2,0,100
395e3f78-f527-434b-a285-8cb7d6c9859a,93,96,3,228,47,22,95
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,50,70,674,756,19,55,103
d84e31f9-caaf-45ea-a800-9322f715d648,117,118,927,191,82,84,90
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,119,82,728,984,74,12,90
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,139,119,41,409,83,85,105
816925f2-1a84-4f5e-8f68-9bb61e47a831,101,96,533,563,49,67,92
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,85,68,889,504,47,42,91
a3cf3f05-d647-4112-8f5f-6ad667453e96,100,101,844,148,66,1,142
7865dc03-d371-4a17-88cc-7ba0103a1941,94,90,811,934,43,24,70
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,91,65,913,755,25,58,87
051d7ffb-14a6-4837-9c14-90c478d77c78,83,80,828,862,69,35,114
968630e1-f235-4d48-a6a2-e14828e24ec5,84,84,6,690,26,70,80
4a8b4a64-5dc3-4e33-a858-09a96518a389,83,71,954,956,39,11,102
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,90,65,859,290,37,1,96
cb9a5e24-f2d6-4aef-b519-34286e9753fb,82,91,805,870,62,96,107
968630e1-f235-4d48-a6a2-e14828e24ec5,66,97,732,748,10,33,98
051d7ffb-14a6-4837-9c14-90c478d77c78,84,96,669,405,17,48,85
816925f2-1a84-4f5e-8f68-9bb61e47a831,85,87,114,868,21,22,57
4a8b4a64-5dc3-4e33-a858-09a96518a389,100,73,434,31,42,0,98
395e3f78-f527-434b-a285-8cb7d6c9859a,114,104,273,377,42,22,85
7865dc03-d371-4a17-88cc-7ba0103a1941,73,73,649,575,9,74,105
cb9a5e24-f2d6-4aef-b519-34286e9753fb,110,77,926,942,89,30,48
d32a4b9b-ce56-4739-a066-fd1870f0db5e,97,89,847,856,15,16,93
bda79ecd-904e-4928-8ce4-e5c53cc98110,78,109,330,520,71,55,90
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,77,115,315,838,31,45,83
050e64c1-8cdd-4102-b703-125ff56652e1,88,82,197,919,47,84,83
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,100,82,696,851,22,4,84
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,88,85,877,222,67,93,93
2f2edd26-2309-446f-a501-efd4ff95698c,87,90,13,513,69,80,126
4a8b4a64-5dc3-4e33-a858-09a96518a389,216,128,46,287,30,6,93
8f27e002-d3e5-439f-a601-ea2a39f34ad8,156,71,305,291,64,74,69
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,63,98,575,626,69,80,88
bda79ecd-904e-4928-8ce4-e5c53cc98110,91,64,913,465,85,95,104
d32a4b9b-ce56-4739-a066-fd1870f0db5e,83,90,8,434,9,79,122
a3cf3f05-d647-4112-8f5f-6ad667453e96,86,93,407,510,53,17,93
8f27e002-d3e5-439f-a601-ea2a39f34ad8,84,82,195,647,73,55,96
d32a4b9b-ce56-4739-a066-fd1870f0db5e,93,153,618,945,89,7,125
816925f2-1a84-4f5e-8f68-9bb61e47a831,86,94,771,59,16,70,100
050e64c1-8cdd-4102-b703-125ff56652e1,115,110,786,660,23,10,75
a3cf3f05-d647-4112-8f5f-6ad667453e96,63,113,90,28,46,83,177
2f2edd26-2309-446f-a501-efd4ff95698c,87,146,26,207,11,19,75
bda79ecd-904e-4928-8ce4-e5c53cc98110,83,59,759,388,93,16,84
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,147,94,746,706,62,52,84
bda79ecd-904e-4928-8ce4-e5c53cc98110,137,79,153,310,15,46,70
3c176379-742c-4534-91e4-addf71b44cee,103,185,801,78,83,16,111
2f2edd26-2309-446f-a501-efd4ff95698c,77,80,502,640,20,26,78
a3cf3f05-d647-4112-8f5f-6ad667453e96,106,101,610,623,11,39,110
2f2edd26-2309-446f-a501-efd4ff95698c,66,95,318,35,12,69,88
968630e1-f235-4d48-a6a2-e14828e24ec5,86,50,623,997,17,77,90
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,62,81,289,977,72,71,107
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,82,106,724,505,44,74,87
395e3f78-f527-434b-a285-8cb7d6c9859a,62,93,523,53,32,27,95
bda79ecd-904e-4928-8ce4-e5c53cc98110,87,96,571,332,8,14,64
d84e31f9-caaf-45ea-a800-9322f715d648,69,125,356,205,94,10,85
4a8b4a64-5dc3-4e33-a858-09a96518a389,91,95,394,977,27,22,159
3c176379-742c-4534-91e4-addf71b44cee,61,93,547,283,17,84,102
d32a4b9b-ce56-4739-a066-fd1870f0db5e,92,88,324,24,19,19,80
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,80,91,416,480,78,91,85
2f2edd26-2309-446f-a501-efd4ff95698c,147,88,272,370,51,22,100
bda79ecd-904e-4928-8ce4-e5c53cc98110,79,109,896,843,99,16,90
d84e31f9-caaf-45ea-a800-9322f715d648,95,105,129,768,78,29,117
bda79ecd-904e-4928-8ce4-e5c53cc98110,85,83,796,573,87,19,89
a3cf3f05-d647-4112-8f5f-6ad667453e96,90,115,28,519,59,39,109
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,73,120,971,586,87,0,96
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,88,113,681,512,82,87,70
7865dc03-d371-4a17-88cc-7ba0103a1941,184,66,273,734,4,54,55
2f2edd26-2309-446f-a501-efd4ff95698c,123,115,313,44,72,77,113
2f2edd26-2309-446f-a501-efd4ff95698c,146,100,462,764,72,30,60
2f2edd26-2309-446f-a501-efd4ff95698c,79,54,426,244,77,56,90
8f27e002-d3e5-439f-a601-ea2a39f34ad8,81,91,224,851,55,94,120
395e3f78-f527-434b-a285-8cb7d6c9859a,92,91,438,258,51,63,93
3c176379-742c-4534-91e4-addf71b44cee,94,90,878,118,16,34,91
051d7ffb-14a6-4837-9c14-90c478d77c78,90,71,635,637,18,40,97
a3cf3f05-d647-4112-8f5f-6ad667453e96,57,95,880,74,13,98,83
051d7ffb-14a6-4837-9c14-90c478d77c78,84,103,318,571,64,78,68
d84e31f9-caaf-45ea-a800-9322f715d648,131,80,336,255,67,48,85
968630e1-f235-4d48-a6a2-e14828e24ec5,90,112,873,349,67,51,101
d84e31f9-caaf-45ea-a800-9322f715d648,52,54,375,523,7,29,100
d84e31f9-caaf-45ea-a800-9322f715d648,110,88,863,166,99,66,117
8f27e002-d3e5-439f-a601-ea2a39f34ad8,78,103,638,389,0,86,100
968630e1-f235-4d48-a6a2-e14828e24ec5,89,115,824,247,93,63,106
d84e31f9-caaf-45ea-a800-9322f715d648,111,92,482,537,34,51,85
968630e1-f235-4d48-a6a2-e14828e24ec5,94,113,113,138,72,32,94
d32a4b9b-ce56-4739-a066-fd1870f0db5e,175,58,774,763,14,89,93
8f27e002-d3e5-439f-a601-ea2a39f34ad8,186,98,285,966,17,45,72
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,95,97,287,340,1,59,90
4a8b4a64-5dc3-4e33-a858-09a96518a389,103,118,564,210,18,3,155
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,96,94,932,512,58,50,96
d32a4b9b-ce56-4739-a066-fd1870f0db5e,61,100,797,195,7,87,127
7865dc03-d371-4a17-88cc-7ba0103a1941,122,49,767,24,75,76,110
8f27e002-d3e5-439f-a601-ea2a39f34ad8,156,97,792,700,19,29,86
8f27e002-d3e5-439f-a601-ea2a39f34ad8,69,108,345,544,95,12,89
2f2edd26-2309-446f-a501-efd4ff95698c,100,97,895,567,21,76,115
7865dc03-d371-4a17-88cc-7ba0103a1941,123,58,915,486,87,19,146
816925f2-1a84-4f5e-8f68-9bb61e47a831,100,84,576,264,86,21,87
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,80,88,760,209,13,24,62
bda79ecd-904e-4928-8ce4-e5c53cc98110,76,99,689,551,66,69,62
395e3f78-f527-434b-a285-8cb7d6c9859a,91,84,272,805,86,22,101
4a8b4a64-5dc3-4e33-a858-09a96518a389,91,88,147,387,53,4,93
2f2edd26-2309-446f-a501-efd4ff95698c,121,87,149,525,75,33,55
4a8b4a64-5dc3-4e33-a858-09a96518a389,78,100,597,530,37,59,90
050e64c1-8cdd-4102-b703-125ff56652e1,92,57,917,329,45,18,116
816925f2-1a84-4f5e-8f68-9bb61e47a831,89,87,93,242,43,66,95
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,78,103,862,171,46,82,103
cb9a5e24-f2d6-4aef-b519-34286e9753fb,99,79,73,144,53,24,98
d32a4b9b-ce56-4739-a066-fd1870f0db5e,103,117,671,346,7,3,110
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,157,99,860,121,33,99,100
816925f2-1a84-4f5e-8f68-9bb61e47a831,103,62,89,404,68,46,61
cb9a5e24-f2d6-4aef-b519-34286e9753fb,95,88,320,656,31,6,73
051d7ffb-14a6-4837-9c14-90c478d77c78,88,100,534,104,24,21,115
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,108,102,393,223,48,83,128
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,112,110,632,510,38,47,97
8f27e002-d3e5-439f-a601-ea2a39f34ad8,87,61,45,920,25,64,171
050e64c1-8cdd-4102-b703-125ff56652e1,80,78,663,230,55,27,93
3c176379-742c-4534-91e4-addf71b44cee,97,105,981,711,19,60,90
968630e1-f235-4d48-a6a2-e14828e24ec5,70,90,144,699,44,96,117
968630e1-f235-4d48-a6a2-e14828e24ec5,70,80,244,915,46,67,101
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,99,91,62,458,63,56,90
bda79ecd-904e-4928-8ce4-e5c53cc98110,116,92,109,878,22,32,98
bda79ecd-904e-4928-8ce4-e5c53cc98110,87,100,154,799,38,0,85
a3cf3f05-d647-4112-8f5f-6ad667453e96,87,108,615,156,44,91,92
d32a4b9b-ce56-4739-a066-fd1870f0db5e,95,83,908,201,74,65,82
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,105,93,192,391,66,35,114
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,66,136,839,46,60,41,73
8f27e002-d3e5-439f-a601-ea2a39f34ad8,98,92,40,957,52,12,106
4a8b4a64-5dc3-4e33-a858-09a96518a389,84,74,795,740,27,14,90
2f2edd26-2309-446f-a501-efd4ff95698c,88,63,137,957,51,67,96
d84e31f9-caaf-45ea-a800-9322f715d648,75,90,565,738,9,46,87
4a8b4a64-5dc3-4e33-a858-09a96518a389,97,110,115,559,84,51,78
7865dc03-d371-4a17-88cc-7ba0103a1941,110,101,907,982,35,21,96
bda79ecd-904e-4928-8ce4-e5c53cc98110,95,98,180,520,62,83,91
968630e1-f235-4d48-a6a2-e14828e24ec5,95,81,942,207,68,76,81
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,100,87,577,938,4,0,96
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,86,141,31,572,43,79,92
816925f2-1a84-4f5e-8f68-9bb61e47a831,50,80,475,382,13,63,104
050e64c1-8cdd-4102-b703-125ff56652e1,81,174,141,52,62,53,112
816925f2-1a84-4f5e-8f68-9bb61e47a831,95,122,308,116,9,28,92
4a8b4a64-5dc3-4e33-a858-09a96518a389,94,86,263,998,20,53,50
050e64c1-8cdd-4102-b703-125ff56652e1,81,80,594,770,3,97,139
d32a4b9b-ce56-4739-a066-fd1870f0db5e,79,94,471,7,36,35,157
051d7ffb-14a6-4837-9c14-90c478d77c78,90,60,989,800,41,15,116
cb9a5e24-f2d6-4aef-b519-34286e9753fb,92,112,128,411,71,21,87
a3cf3f05-d647-4112-8f5f-6ad667453e96,93,85,827,503,95,74,96
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,94,99,587,323,48,37,98
7865dc03-d371-4a17-88cc-7ba0103a1941,50,58,291,984,77,41,96
bda79ecd-904e-4928-8ce4-e5c53cc98110,98,84,241,174,41,66,84
8f27e002-d3e5-439f-a601-ea2a39f34ad8,142,111,758,422,60,8,95
bda79ecd-904e-4928-8ce4-e5c53cc98110,108,45,647,797,18,12,96
050e64c1-8cdd-4102-b703-125ff56652e1,100,103,114,775,33,26,104
bda79ecd-904e-4928-8ce4-e5c53cc98110,160,97,502,182,88,21,90
a3cf3f05-d647-4112-8f5f-6ad667453e96,101,109,480,52,44,61,89
f0bc1222-022f-4e79-b27e-6a3d2ca3caa8,88,60,336,366,75,65,82
395e3f78-f527-434b-a285-8cb7d6c9859a,232,86,762,155,22,49,165
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,85,85,834,934,18,58,101
050e64c1-8cdd-4102-b703-125ff56652e1,85,66,440,967,34,46,97
d32a4b9b-ce56-4739-a066-fd1870f0db5e,120,128,664,399,97,97,90
d84e31f9-caaf-45ea-a800-9322f715d648,107,96,747,18,72,6,109
4a8b4a64-5dc3-4e33-a858-09a96518a389,82,85,234,763,48,25,93
2f2edd26-2309-446f-a501-efd4ff95698c,110,61,107,743,59,93,118
968630e1-f235-4d48-a6a2-e14828e24ec5,132,113,970,249,1,12,72
cb9a5e24-f2d6-4aef-b519-34286e9753fb,101,103,152,279,43,67,99
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,88,91,323,98,94,52,100
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,112,102,333,480,63,16,79
2f2edd26-2309-446f-a501-efd4ff95698c,106,77,679,824,50,11,102
bda79ecd-904e-4928-8ce4-e5c53cc98110,88,96,257,896,47,77,95
816925f2-1a84-4f5e-8f68-9bb61e47a831,92,269,192,355,54,38,77
968630e1-f235-4d48-a6a2-e14828e24ec5,84,114,157,58,67,63,104
2f2edd26-2309-446f-a501-efd4ff95698c,110,95,149,781,98,38,99
968630e1-f235-4d48-a6a2-e14828e24ec5,186,130,776,273,75,45,58
968630e1-f235-4d48-a6a2-e14828e24ec5,107,96,284,377,57,73,98
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,50,90,290,138,50,27,64
bda79ecd-904e-4928-8ce4-e5c53cc98110,99,88,516,589,65,1,75
a3cf3f05-d647-4112-8f5f-6ad667453e96,101,220,771,278,25,49,70
968630e1-f235-4d48-a6a2-e14828e24ec5,99,90,47,783,51,8,79
d32a4b9b-ce56-4739-a066-fd1870f0db5e,103,68,414,289,16,26,132
d32a4b9b-ce56-4739-a066-fd1870f0db5e,50,86,806,147,90,29,88
968630e1-f235-4d48-a6a2-e14828e24ec5,105,171,18,325,94,60,123
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,133,120,439,379,68,24,111
2f2edd26-2309-446f-a501-efd4ff95698c,90,86,593,519,18,55,56
d32a4b9b-ce56-4739-a066-fd1870f0db5e,101,96,762,981,2,30,86
d32a4b9b-ce56-4739-a066-fd1870f0db5e,86,89,103,682,21,70,85
bda79ecd-904e-4928-8ce4-e5c53cc98110,68,60,438,553,7,72,106
d32a4b9b-ce56-4739-a066-fd1870f0db5e,53,93,472,833,87,2,148
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,65,121,635,358,98,16,93
a3cf3f05-d647-4112-8f5f-6ad667453e96,89,124,392,262,4,67,79
7865dc03-d371-4a17-88cc-7ba0103a1941,85,105,912,268,41,92,81
d84e31f9-caaf-45ea-a800-9322f715d648,93,104,168,291,85,43,117
051d7ffb-14a6-4837-9c14-90c478d77c78,95,116,636,731,39,83,86
050e64c1-8cdd-4102-b703-125ff56652e1,70,102,502,966,38,99,97
d84e31f9-caaf-45ea-a800-9322f715d648,90,85,201,766,98,29,68
a3cf3f05-d647-4112-8f5f-6ad667453e96,90,110,230,47,9,39,65
